,RegionName,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Avg_Condo
0,Alabama,157600.0,144508.33,136042.86,138508.33,142791.67,142608.33,145550.0,152775.0,156608.33,160975.0,171183.33,149922.84
1,Alaska,190600.0,194991.67,193435.71,187775.0,192391.67,195483.33,198625.0,200708.33,196591.67,199425.0,200450.0,195497.94
2,Arizona,124066.67,103741.67,86321.43,88125.0,104716.67,114533.33,120375.0,129675.0,142408.33,158100.0,169016.67,121916.34
3,Arkansas,129358.33,125591.67,125171.43,122941.67,123641.67,124508.33,122841.67,123525.0,131716.67,135441.67,139133.33,127624.68
4,California,322208.33,311458.33,287578.57,279183.33,329991.67,374533.33,400866.67,429058.33,459641.67,495783.33,503516.67,381256.39
5,Colorado,148366.67,144741.67,137428.57,138258.33,149366.67,162958.33,185783.33,213933.33,239258.33,258733.33,270033.33,186260.17
6,Connecticut,171658.33,167608.33,154750.0,142050.0,139416.67,137550.0,135841.67,136116.67,137958.33,142333.33,145850.0,146466.67
7,Delaware,,,,,,,,,,,,
8,District of Columbia,334391.67,337758.33,335392.86,339925.0,365408.33,383516.67,396700.0,404391.67,415425.0,419616.67,426816.67,378122.08
9,Florida,124200.0,103808.33,92607.14,93725.0,106716.67,121808.33,134433.33,147758.33,160708.33,170050.0,176150.0,130178.68
10,Georgia,138250.0,127941.67,109085.71,92941.67,103250.0,118058.33,128208.33,139408.33,155366.67,170941.67,183133.33,133325.97
11,Hawaii,306375.0,305416.67,307742.86,309683.33,330816.67,353041.67,371758.33,389900.0,406541.67,423100.0,426183.33,357323.59
12,Idaho,177816.67,162858.33,150814.29,148391.67,153716.67,161791.67,167141.67,172633.33,188925.0,216925.0,239516.67,176411.9
13,Illinois,178800.0,163558.33,142521.43,126208.33,129816.67,139708.33,150625.0,159016.67,166766.67,171758.33,174666.67,154858.77
14,Indiana,111358.33,109266.67,107792.86,105075.0,103983.33,104175.0,109733.33,114925.0,121191.67,127983.33,136183.33,113787.99
15,Iowa,101941.67,102091.67,100464.29,100541.67,100000.0,102608.33,108908.33,112891.67,117966.67,124675.0,120066.67,108377.81
16,Kansas,89266.67,85441.67,81721.43,78416.67,73983.33,68950.0,72108.33,76608.33,82250.0,83658.33,87033.33,79948.92
17,Kentucky,116800.0,115841.67,114250.0,110933.33,110850.0,110583.33,112375.0,116683.33,122258.33,128900.0,134966.67,117676.52
18,Louisiana,137050.0,135683.33,128714.29,123091.67,125591.67,126525.0,127491.67,132100.0,140083.33,145383.33,147950.0,133605.84
19,Maine,177441.67,181608.33,175635.71,174975.0,178625.0,182916.67,187108.33,194825.0,211533.33,222208.33,235833.33,192973.7
20,Maryland,212583.33,197091.67,180442.86,170900.0,173700.0,179941.67,183458.33,187258.33,194200.0,197075.0,202183.33,188984.96
21,Massachusetts,239591.67,237908.33,230871.43,228908.33,242141.67,258833.33,274850.0,296708.33,323666.67,345533.33,360333.33,276304.22
22,Michigan,123433.33,114958.33,109528.57,113225.0,125450.0,139708.33,151716.67,164350.0,179916.67,194125.0,204133.33,147322.29
23,Minnesota,132091.67,122250.0,107407.14,99116.67,105891.67,117858.33,129050.0,140333.33,151575.0,162491.67,169433.33,130681.71
24,Mississippi,120675.0,135908.33,130550.0,102900.0,94525.0,95366.67,103341.67,109366.67,114816.67,117175.0,122733.33,113396.21
25,Missouri,131625.0,125850.0,119307.14,115150.0,114541.67,115650.0,116866.67,118250.0,124266.67,131308.33,135150.0,122542.32
26,Montana,146766.67,141275.0,135392.86,136883.33,139733.33,132891.67,141775.0,150866.67,158383.33,185491.67,197333.33,151526.62
27,Nebraska,109583.33,106358.33,101942.86,97533.33,102433.33,106158.33,112083.33,117600.0,126483.33,133866.67,137733.33,113797.84
28,Nevada,92158.33,68108.33,59685.71,59458.33,74808.33,86916.67,93758.33,102566.67,118191.67,144616.67,158516.67,96253.25
29,New Hampshire,167300.0,162358.33,152492.86,147416.67,148833.33,151525.0,157983.33,167741.67,180325.0,192166.67,202366.67,166409.96
30,New Jersey,248283.33,236500.0,221578.57,209391.67,209441.67,215716.67,219316.67,224008.33,234758.33,246533.33,253000.0,228957.14
31,New Mexico,171858.33,155375.0,142250.0,133775.0,133791.67,132516.67,131500.0,137058.33,144391.67,156683.33,166416.67,145965.15
32,New York,488866.67,459133.33,459850.0,475583.33,509900.0,562800.0,607425.0,652175.0,688083.33,718441.67,711766.67,575820.45
33,North Carolina,129491.67,122816.67,115471.43,110125.0,112408.33,113766.67,115983.33,121083.33,128633.33,136925.0,145633.33,122939.83
34,North Dakota,107450.0,110433.33,114428.57,122791.67,129358.33,135616.67,145808.33,149541.67,147858.33,152783.33,147250.0,133029.11
35,Ohio,109783.33,106033.33,100664.29,95133.33,96208.33,100766.67,106500.0,109991.67,118116.67,123766.67,129183.33,108740.69
36,Oklahoma,65675.0,66175.0,64121.43,64275.0,64383.33,65391.67,65275.0,67366.67,72825.0,73841.67,73000.0,67484.52
37,Oregon,181208.33,165566.67,148814.29,143325.0,156658.33,175433.33,190025.0,218541.67,244350.0,258966.67,264033.33,195174.78
38,Pennsylvania,177258.33,171233.33,161700.0,155808.33,158133.33,160091.67,162041.67,166616.67,171825.0,177416.67,183083.33,167746.21
39,Rhode Island,190250.0,181508.33,172164.29,165383.33,168800.0,171200.0,170833.33,178983.33,194566.67,208108.33,214416.67,183292.21
40,South Carolina,139608.33,127091.67,115928.57,112516.67,115291.67,119358.33,123166.67,130825.0,138441.67,147483.33,155616.67,129575.32
41,South Dakota,,,,,,,,,,,,
42,Tennessee,147316.67,141008.33,134335.71,131358.33,133775.0,138125.0,145033.33,155466.67,167841.67,179558.33,187100.0,150992.64
43,Texas,96083.33,94066.67,92614.29,92583.33,94075.0,98083.33,106541.67,119858.33,129666.67,138291.67,144766.67,109693.72
44,Utah,195866.67,183566.67,166642.86,161491.67,175508.33,186400.0,194200.0,209641.67,226091.67,253683.33,276116.67,202655.41
45,Vermont,170150.0,172175.0,168214.29,168383.33,172516.67,177591.67,178416.67,182433.33,193933.33,199683.33,206733.33,180930.09
46,Virginia,225208.33,218650.0,210435.71,210150.0,222341.67,228908.33,230383.33,231891.67,236908.33,244666.67,250233.33,228161.58
47,Washington,217383.33,198141.67,173692.86,160241.67,173350.0,193591.67,214325.0,243916.67,285375.0,322191.67,329883.33,228372.08
48,West Virginia,141566.67,142308.33,136757.14,128891.67,124541.67,121933.33,121975.0,117491.67,112325.0,114691.67,115083.33,125233.23
49,Wisconsin,147050.0,140983.33,132485.71,127808.33,125875.0,128550.0,131300.0,140825.0,155400.0,167875.0,175833.33,143089.61
50,Wyoming,122516.67,119900.0,114107.14,115141.67,122075.0,130141.67,128341.67,134000.0,153283.33,154300.0,161433.33,132294.59
